Account: UC - Berkeley,,,,,,,
User: Sam,,,,,,,
Generated On: 02/24/2026,,,,,,,
For Time Period: January 1  2023 - January 1  2024,,,,,,,
Filters: ,,,,,,,
Streams: All,,,,,,,
Groups: All,,,,,,,
Ordered Route: All,,,,,,,
,,,,,,,
,,,,,,,
Serial,Description,Capacity,Stream Type,Reason,Fullness Level at Collection,Collection Time,Note
1515783,U05 Cesar Chavez,Smart Max,Waste,Fullness,80%,1/18/2023 6:45,-
1515758,U17 Dwinelle Plaza Entry,Smart Max,Compostables,Fullness,80%,1/18/2023 6:45,-
1515718,U18 Dwinelle Walkway,Smart Max,Compostables,Fullness,80%,1/18/2023 6:47,-
1515784,U19 Wheeler Walkway,Smart Max,Compostables,Fullness,80%,1/18/2023 6:51,-
1515672,U14 Sproul Hall Steps,Smart Max,Waste,Fullness,80%,1/18/2023 6:55,-
1515791,U05 Cesar Chavez,Smart Max,Compostables,Fullness,60%,1/18/2023 7:20,-
1515790,U12 Upper MLK Union,Smart Max,Compostables,Fullness,80%,1/18/2023 7:29,-
1503623,E17 Tan/Campbell,Smart Max,Waste,Fullness,60%,1/18/2023 7:29,-
1515685,U13 Bancroft Way,Smart Max,Compostables,Fullness,80%,1/18/2023 7:31,-
1516553,E27 Coffee Lab,Smart Max,Waste,Fullness,60%,1/18/2023 7:38,-
1515786,U15 Sather Gate,Smart Max,Compostables,Fullness,80%,1/18/2023 7:43,-
1515671,"U24 Rice & Bones, Wurster",Smart Max,Waste,Fullness,60%,1/18/2023 7:50,-
1516551,U30 Birge Path,Smart Max,Waste,Not Ready,0%,1/18/2023 7:52,-
1516539,W15 Koshland,Smart Max,Compostables,Not Ready,20%,1/18/2023 7:53,-
1503624,E22 May Morrison Hall,Smart Max,Waste,Fullness,80%,1/18/2023 7:54,-
1514010,W05 Brown’s Cafe,Smart Max,Compostables,Fullness,80%,1/18/2023 7:59,-
1515702,U19 Wheeler Walkway,Smart Max,Waste,Fullness,60%,1/18/2023 8:06,-
1515719,W03 Li Ka Shing Hall,Smart Max,Compostables,Fullness,60%,1/18/2023 8:10,-
1503628,E28 Library/Campanile Way,Smart Max,Waste,Fullness,80%,1/18/2023 8:12,-
1516549,W17 Mulford Hall,Smart Max,Compostables,Fullness,60%,1/18/2023 8:12,-
1515695,E15 Bancroft Library,Smart Max,Waste,Fullness,60%,1/18/2023 8:16,-
1515743,E02 North Entrance Memorial Glade,Smart Max,Waste,Fullness,60%,1/18/2023 8:26,-
1515704,E05 V&A Cafe/Etcheverry,Smart Max,Waste,Fullness,80%,1/18/2023 8:52,-
1515751,U14 Sproul Hall Steps,Smart Max,Compostables,Not Ready,0%,1/18/2023 9:19,-
1515749,U07 Cal Book Store,Smart Max,Compostables,Fullness,60%,1/18/2023 9:26,-
1515753,U08 MLK Courtyard,Smart Max,Compostables,Fullness,60%,1/18/2023 9:28,-
1515759,U09 MLK Ramp,Smart Max,Compostables,Fullness,80%,1/18/2023 9:31,-
1515756,E06 Sutardja Dali Hall/Yali's 1,Smart Max,Compostables,Not Ready,40%,1/18/2023 9:52,-
1515670,W01 Lower Crescent,Smart Max,Waste,Fullness,60%,1/18/2023 9:56,-
1516548,W17 Mulford Hall,Smart Max,Waste,Fullness,60%,1/18/2023 10:19,-
1503625,E14 Physics,Smart Max,Waste,Not Ready,40%,1/18/2023 10:39,-
1515692,U15 Sather Gate,Smart Max,Waste,Fullness,60%,1/18/2023 10:55,-
1515666,E16 Campanile,Smart Max,Waste,Fullness,60%,1/18/2023 11:50,-
1515673,E04 North Gate Entrance,Smart Max,Waste,Fullness,80%,1/18/2023 11:51,-
1503637,E22 May Morrison Hall,Smart Max,Compostables,Fullness,80%,1/18/2023 12:05,-
1515741,E12 Evans Hall Bus Stop,Smart Max,Waste,Fullness,60%,1/18/2023 12:08,-
1516537,U30 Birge Path,Smart Max,Compostables,Fullness,60%,1/18/2023 12:13,-
1515714,"U24 Rice & Bones, Wurster",Smart Max,Compostables,Fullness,80%,1/18/2023 12:17,-
1514005,U25 Anthropology and Art Practice (Compost),Smart Max,Compostables,Fullness,60%,1/18/2023 12:20,-
1520928,U23 Law Building west of Heyman Terrace,Smart Max,Compostables,Fullness,80%,1/18/2023 12:23,-
1515773,U07 Cal Book Store,Smart Max,Bottles/Cans,Fullness,80%,1/18/2023 12:27,-
1515777,U14 Sproul Hall Steps,Smart Max,Bottles/Cans,Fullness,80%,1/18/2023 12:33,-
2503762,E18 Latimer Courtyard,Smart Max,Compostables,Fullness,60%,1/18/2023 12:36,-
1503646,E17 Tan/Campbell,Smart Max,Bottles/Cans,Fullness,60%,1/18/2023 12:42,-
1515754,E07 Sutardja Dai Hall/Yali's 2,Smart Max,Compostables,Fullness,60%,1/18/2023 12:43,-
1515760,E23 Glade Path,Smart Max,Bottles/Cans,Fullness,80%,1/18/2023 12:46,-
1515758,U17 Dwinelle Plaza Entry,Smart Max,Compostables,Fullness,80%,1/19/2023 6:24,-
1515718,U18 Dwinelle Walkway,Smart Max,Compostables,Fullness,60%,1/19/2023 6:25,-
