Account: UC - Berkeley
User: Sam
Generated On: 02/11/2026
Filters: 
Streams: All
Groups: All
Components: All
Status: All


"Description","Serial","Streams","Model ID","Capacity","Status","Fullness Threshold","Age Threshold","Last Called","Lat","Lng","Modem","Door Lock Type"
"Hearst Gym Annex","1520927","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.86931292078011","-122.2578713914926","LE910","Manual Lock"
"Hearst Gym Annex","1520924","Compostables","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.86931292078011","-122.2578713914926","LE910","Manual Lock"
"Stadium Gate 3","1520914","Waste","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.87063499373998","-122.2517542541027","LE910","Manual Lock"
"Stadium Gate 3","1520906","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","3 hours ago","37.87063499373998","-122.2517542541027","LE910","Manual Lock"
"Stadium Gate 3","1520925","Compostables","SM5","Smart Max","In Service","60%","7 days","2 hours ago","37.87063499373998","-122.2517542541027","LE910","Manual Lock"
"Stadium Gate 4","1520911","Waste","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.870337507907635","-122.25146390497684","LE910","Manual Lock"
"Stadium Gate 4","1520907","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","3 hours ago","37.870337507907635","-122.25146390497684","LE910","Manual Lock"
"Stadium Gate 4","1520920","Compostables","SM5","Smart Max","In Service","60%","7 days","2 hours ago","37.870337507907635","-122.25146390497684","LE910","Manual Lock"
"U02 Spieker Plaza Center","1515785","Compostables","SM5","Smart Max","In Service","60%","7 days","36 minutes ago","37.86953238453279","-122.26163350045682","LE910","Manual Lock"
"U02 Spieker Plaza Center","1515681","Waste","SM5","Smart Max","In Service","60%","7 days","6 hours ago","37.869527091121846","-122.2616294771433","LE910","Manual Lock"
"U02 Spieker Plaza Center","1515721","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.86952973782737","-122.26163215935232","LE910","Manual Lock"
"U03 Grade Street","2503763","Compostables","SM5","Smart Max","In Service","60%","7 days","2 hours ago","37.869921184525936","-122.26080469787121","LE910","Manual Lock"
"U03 Grade Street","2503769","Waste","SM5","Smart Max","In Service","60%","7 days","11 hours ago","37.86991959651107","-122.26080469787121","LE910","Manual Lock"
"U03 Grade Street","2503773","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.86991933184193","-122.2608020156622","LE910","Manual Lock"
"U04 Zellerbach","1515818","Compostables","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.86941328269483","-122.26061727851629","LE910","Manual Lock"
"U04 Zellerbach","1515679","Waste","SM5","Smart Max","In Service","60%","7 days","2 hours ago","37.86941328269483","-122.26061459630728","LE910","Manual Lock"
"U04 Zellerbach","1515740","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","6 hours ago","37.86941010664318","-122.26060923188925","LE910","Manual Lock"
"U05 Cesar Chavez","1515791","Compostables","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.86956493900167","-122.26034536957742","LE910","Manual Lock"
"U05 Cesar Chavez","1515738","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","4 hours ago","37.86956229229744","-122.26034469902517","LE910","Manual Lock"
"U05 Cesar Chavez","1515783","Waste","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.869563880319994","-122.26034469902517","LE910","Manual Lock"
"U06 Bear's Lair","1515772","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","2 months ago","37.86881353584746","-122.26009592413901","LE910","Manual Lock"
"U06 Bear's Lair","1515677","Waste","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.868805066307154","-122.26009860634804","LE910","Manual Lock"
"U06 Bear's Lair","1515689","Compostables","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.86881777061725","-122.26006910204887","LE910","Manual Lock"
"U07 Cal Book Store","1515773","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.868915170255164","-122.25990682840347","LE910","Manual Lock"
"U07 Cal Book Store","1515711","Waste","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.86891411156416","-122.25990682840347","LE910","Manual Lock"
"U07 Cal Book Store","1515749","Compostables","SM5","Smart Max","In Service","60%","7 days","2 hours ago","37.86891411156416","-122.25990649312735","LE910","Manual Lock"
"U08 MLK Courtyard","1515767","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.86908535463956","-122.26000338792802","LE910","Manual Lock"
"U08 MLK Courtyard","1515696","Waste","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.86908588398386","-122.26000338792802","LE910","Manual Lock"
"U08 MLK Courtyard","1515753","Compostables","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.869080061196534","-122.26001143455507","LE910","Manual Lock"
"U09 MLK Ramp","1515780","Waste","SM5","Smart Max","In Service","60%","7 days","11 minutes ago","37.86935320236131","-122.26001746952532","LE910","Manual Lock"
"U09 MLK Ramp","1515722","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.86935320236131","-122.26002149283886","LE910","Manual Lock"
"U09 MLK Ramp","1515759","Compostables","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.869352143676565","-122.26001881062984","LE910","Manual Lock"
"U10 Golden Bear Walkway","1515770","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.86981157187729","-122.2595391344498","LE910","Manual Lock"
"U10 GoldenBear Walkway","1515680","Waste","SM5","Smart Max","In Service","60%","7 days","41 minutes ago","37.86983757222283","-122.259550627019","LE910","Manual Lock"
"U10 GoldenBear Walkway","1515755","Compostables","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.86983757222283","-122.259550627019","LE910","Manual Lock"
"U11 Golden Bear Cafe Entry","1515817","Compostables","SM5","Smart Max","In Storage","60%","7 days","10 months ago","37.869903451691364","-122.2596077620983","LE910","Manual Lock"
"U11 Golden Bear Cafe Entry","1515724","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","6 hours ago","37.86990133433772","-122.25960709154606","LE910","Manual Lock"
"U11 Golden Bear NE","1515694","Waste","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.86990080499928","-122.25960709154606","LE910","Manual Lock"
"U12 Upper MLK Union","1515790","Compostables","SM5","Smart Max","In Service","60%","7 days","3 hours ago","37.86917322573859","-122.25934792309998","LE910","Manual Lock"
"U12 Upper MLK Union","1515693","Waste","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.86916369755221","-122.25934389978647","LE910","Manual Lock"
"U12 Upper MLK Union","1515769","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","2 hours ago","37.869172167051275","-122.2593479231","LE910","Manual Lock"
"U13 Bancroft Way","1515779","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","2 hours ago","37.86908138455732","-122.25907165557147","LE910","Manual Lock"
"U13 Bancroft Way","1515685","Compostables","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.86908032586868","-122.25906897336246","LE910","Manual Lock"
"U13 Bancroft Way","1515744","Waste","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.86907397373655","-122.25907165557147","LE910","Manual Lock"
"U14 Sproul Hall Steps","1515777","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.86977349899756","-122.25922755897045","LE910","Manual Lock"
"U14 Sproul Hall Steps","1515672","Waste","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.86976926428271","-122.25922487676144","LE910","Manual Lock"
"U14 Sproul Hall Steps","1515751","Compostables","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.86977138164017","-122.25922755897045","LE910","Manual Lock"
"U15 Sather Gate","1515786","Compostables","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.87014324160014","-122.25936133414507","LE910","Manual Lock"
"U15 Sather Gate","1515692","Waste","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.87014324160014","-122.25936468690634","LE910","Manual Lock"
"U15 Sather Gate","1515778","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.8701435062685","-122.25936368107796","LE910","Manual Lock"
"U16 Durant Hall","1514030","Waste","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.87141963377397","-122.2604695894962","LE910","Manual Lock"
"U16 Durant Hall","1514001","Compostables","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.87141963377396","-122.26046757783944","LE910","Manual Lock"
"U16 Durant Hall","1514014","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.87142016310147","-122.26046925422007","LE910","Manual Lock"
"U17 Dwinelle Plaza Entry","1515758","Compostables","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.87077473755973","-122.2600607201457","LE910","Manual Lock"
"U17 Dwinelle Plaza Entry","1515739","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.87077553155793","-122.26006206125021","LE910","Manual Lock"
"U17 Dwinelle Plaza Entry","1515747","Waste","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.87077076756851","-122.26006004959345","LE910","Manual Lock"
"U18 Dwinelle Walkway","1515775","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","10 hours ago","37.87094332965619","-122.25974153727294","LE910","Manual Lock"
