Serial,stream,day,inventory_gal_start,inventory_pct_start,pickup_flag,pickup_gal,inventory_gal_after_service,overflow_flag,threshold_violation_gal
1514012,Bottles/Cans,6,63.94,42.63,0,0.0,63.94,0,0.0
1514013,Bottles/Cans,0,106.16,70.78,0,0.0,106.16,0,0.0
1514013,Bottles/Cans,1,123.86,82.57,1,123.86,0.0,0,0.0
1514013,Bottles/Cans,2,17.69,11.8,0,0.0,17.69,0,0.0
1514013,Bottles/Cans,3,35.39,23.59,0,0.0,35.39,0,0.0
1514013,Bottles/Cans,4,53.08,35.39,0,0.0,53.08,0,0.0
1514013,Bottles/Cans,5,70.78,47.18,0,0.0,70.78,0,0.0
1514013,Bottles/Cans,6,88.47,58.98,0,0.0,88.47,0,0.0
1514014,Bottles/Cans,0,23.85,15.9,0,0.0,23.85,0,0.0
1514014,Bottles/Cans,1,27.82,18.55,1,27.82,0.0,0,0.0
1514014,Bottles/Cans,2,3.97,2.65,0,0.0,3.97,0,0.0
1514014,Bottles/Cans,3,7.95,5.3,0,0.0,7.95,0,0.0
1514014,Bottles/Cans,4,11.92,7.95,0,0.0,11.92,0,0.0
1514014,Bottles/Cans,5,15.9,10.6,0,0.0,15.9,0,0.0
1514014,Bottles/Cans,6,19.87,13.25,0,0.0,19.87,0,0.0
1514015,Bottles/Cans,0,42.83,28.56,0,0.0,42.83,0,0.0
1514015,Bottles/Cans,1,49.97,33.32,1,49.97,0.0,0,0.0
1514015,Bottles/Cans,2,7.14,4.76,0,0.0,7.14,0,0.0
1514015,Bottles/Cans,3,14.28,9.52,0,0.0,14.28,0,0.0
1514015,Bottles/Cans,4,21.42,14.28,0,0.0,21.42,0,0.0
1514015,Bottles/Cans,5,28.56,19.04,0,0.0,28.56,0,0.0
1514015,Bottles/Cans,6,35.7,23.8,0,0.0,35.7,0,0.0
1514018,Bottles/Cans,0,22.88,15.25,0,0.0,22.88,0,0.0
1514018,Bottles/Cans,1,26.69,17.8,1,26.69,0.0,0,0.0
1514018,Bottles/Cans,2,3.81,2.54,0,0.0,3.81,0,0.0
1514018,Bottles/Cans,3,7.63,5.08,0,0.0,7.63,0,0.0
1514018,Bottles/Cans,4,11.44,7.63,0,0.0,11.44,0,0.0
1514018,Bottles/Cans,5,15.25,10.17,0,0.0,15.25,0,0.0
1514018,Bottles/Cans,6,19.07,12.71,0,0.0,19.07,0,0.0
1514020,Bottles/Cans,0,50.04,33.36,1,50.04,0.0,0,0.0
1514020,Bottles/Cans,1,8.34,5.56,0,0.0,8.34,0,0.0
1514020,Bottles/Cans,2,16.68,11.12,0,0.0,16.68,0,0.0
1514020,Bottles/Cans,3,25.02,16.68,0,0.0,25.02,0,0.0
1514020,Bottles/Cans,4,33.36,22.24,0,0.0,33.36,0,0.0
1514020,Bottles/Cans,5,41.7,27.8,0,0.0,41.7,0,0.0
1514020,Bottles/Cans,6,50.04,33.36,0,0.0,50.04,0,0.0
1515668,Waste,0,88.26,58.84,1,88.26,0.0,0,0.0
1515668,Waste,1,14.71,9.81,0,0.0,14.71,0,0.0
1515668,Waste,2,29.42,19.61,0,0.0,29.42,0,0.0
1515668,Waste,3,44.13,29.42,0,0.0,44.13,0,0.0
1515668,Waste,4,58.84,39.23,0,0.0,58.84,0,0.0
1515668,Waste,5,73.55,49.03,0,0.0,73.55,0,0.0
1515668,Waste,6,88.26,58.84,0,0.0,88.26,0,0.0
1515687,Compostables,0,88.23,58.82,1,88.23,0.0,0,0.0
1515687,Compostables,1,14.71,9.8,0,0.0,14.71,0,0.0
1515687,Compostables,2,29.41,19.61,0,0.0,29.41,0,0.0
1515687,Compostables,3,44.12,29.41,0,0.0,44.12,0,0.0
1515687,Compostables,4,58.82,39.21,0,0.0,58.82,0,0.0
1515687,Compostables,5,73.53,49.02,0,0.0,73.53,0,0.0
1515687,Compostables,6,88.23,58.82,0,0.0,88.23,0,0.0
1515703,Waste,0,45.18,30.12,1,45.18,0.0,0,0.0
1515703,Waste,1,7.53,5.02,0,0.0,7.53,0,0.0
1515703,Waste,2,15.06,10.04,0,0.0,15.06,0,0.0
1515703,Waste,3,22.59,15.06,0,0.0,22.59,0,0.0
1515703,Waste,4,30.12,20.08,0,0.0,30.12,0,0.0
1515703,Waste,5,37.65,25.1,0,0.0,37.65,0,0.0
1515703,Waste,6,45.18,30.12,0,0.0,45.18,0,0.0
1515712,Compostables,0,22.86,15.24,0,0.0,22.86,0,0.0
1515712,Compostables,1,26.67,17.78,1,26.67,0.0,0,0.0
1515712,Compostables,2,3.81,2.54,0,0.0,3.81,0,0.0
1515712,Compostables,3,7.62,5.08,0,0.0,7.62,0,0.0
1515712,Compostables,4,11.43,7.62,0,0.0,11.43,0,0.0
1515712,Compostables,5,15.24,10.16,0,0.0,15.24,0,0.0
1515712,Compostables,6,19.05,12.7,0,0.0,19.05,0,0.0
1515727,Bottles/Cans,0,66.66,44.44,0,0.0,66.66,0,0.0
1515727,Bottles/Cans,1,77.77,51.84,1,77.77,0.0,0,0.0
1515727,Bottles/Cans,2,11.11,7.41,0,0.0,11.11,0,0.0
1515727,Bottles/Cans,3,22.22,14.81,0,0.0,22.22,0,0.0
1515727,Bottles/Cans,4,33.33,22.22,0,0.0,33.33,0,0.0
1515727,Bottles/Cans,5,44.44,29.63,0,0.0,44.44,0,0.0
1515727,Bottles/Cans,6,55.55,37.03,0,0.0,55.55,0,0.0
1515729,Bottles/Cans,0,50.36,33.57,0,0.0,50.36,0,0.0
